"时间戳记","Participant number:","(1) Please recall and summarize the content of the video you watched as if explaining to a friend who is unfamiliar with the topic. (Please write as much as you can.)","(2) An increase in cirrus clouds might...","(3) What was the significant result of the discrepancies in climate models owing to cloud representation?","(4) When comparing climate forecasts without including clouds, researchers found that...","(5) Why is it difficult to predict climate change accurately?","(6) Why have clouds been identified as a significant uncertainty in climate models? (Please write as much as you can.)"
"2024/08/11 12:56:30 下午 GMT+8","P3","/","(D) cause unpredictable weather patterns.","(D) Difficult prediction of regional climate impacts","(D) the predictions were relatively inaccurate.","(C) Because there is uncertainty about the impact of clouds in climate models.","Because of the various types and activity models of the clouds"
"2024/08/11 1:18:22 下午 GMT+8","P2","Recorded","(A) increase global warming.","(D) Difficult prediction of regional climate impacts","(D) the predictions were relatively inaccurate.","(C) Because there is uncertainty about the impact of clouds in climate models.","I don't remember much from the video."
"2024/08/11 6:36:33 下午 GMT+8","P1",".","(C) let global warming remain.","(D) Difficult prediction of regional climate impacts","(C) the models agreed quite well.","(C) Because there is uncertainty about the impact of clouds in climate models.","Models excluding the cloud impact shows consistent and accurate results, but shows inconsistency and inaccuracy as cloud is taken into measure"
"2024/08/12 11:59:15 上午 GMT+8","16","n/a","(B) decrease global warming.","(D) Difficult prediction of regional climate impacts","(C) the models agreed quite well.","(C) Because there is uncertainty about the impact of clouds in climate models.","Climate models have consistent results before the factor of clouds are introduced. When clouds are included in the models, the models show many variations, so it is still uncertain how the clouds impact the models."
"2024/08/13 1:32:47 下午 GMT+8","P7","None","(B) decrease global warming.","(D) Difficult prediction of regional climate impacts","(D) the predictions were relatively inaccurate.","(C) Because there is uncertainty about the impact of clouds in climate models.","it will influence the temperature in an uncertain way, which may affect the prediction accuracy."
"2024/08/13 8:36:01 下午 GMT+8","P8","None","(B) decrease global warming.","(D) Difficult prediction of regional climate impacts","(B) the models were highly inconsistent.","(B) Because there is limited knowledge on ocean currents.","None"
"2024/08/13 10:50:01 下午 GMT+8","P4","NA","(D) cause unpredictable weather patterns.","(D) Difficult prediction of regional climate impacts","(C) the models agreed quite well.","(C) Because there is uncertainty about the impact of clouds in climate models.","They keeps changing and cause inconsistence of  different prediction models."
"2024/08/14 11:25:41 上午 GMT+8","P12","The formation of the clouds are hard to predict. The scientists has come with some predictions with no fixed answers. These clouds is affected by nitrogen. When clouds turned into the rains, the nutrient that flow to the clouds has fallen down to the grounds. ","(B) decrease global warming.","(D) Difficult prediction of regional climate impacts","(D) the predictions were relatively inaccurate.","(C) Because there is uncertainty about the impact of clouds in climate models.","The formation of the clouds has no fixed pattern and there are too many environmental factors. It is hard to predict when there are too much uncertainties with no fixed observations and no way of proving the hypothesis. "
"2024/08/14 12:16:35 下午 GMT+8","P6","NA","(D) cause unpredictable weather patterns.","(D) Difficult prediction of regional climate impacts","(C) the models agreed quite well.","(C) Because there is uncertainty about the impact of clouds in climate models.","The theory not include the uncertainty of cloud issue, while the cloud itself is unpreficable."
"2024/08/14 4:21:21 下午 GMT+8","P5","NA","(A) increase global warming.","(B) Accurate prediction of weather patterns","(C) the models agreed quite well.","(C) Because there is uncertainty about the impact of clouds in climate models.","因为云的遮挡无法通过模型准确预测海洋气候以及二氧化碳浓度。此外，有没有云的预测模型会影响模型的预测的准确度，无法判断影响地区的气候问题"
"2024/08/14 5:21:42 下午 GMT+8","11","N/A","(B) decrease global warming.","(D) Difficult prediction of regional climate impacts","(B) the models were highly inconsistent.","(C) Because there is uncertainty about the impact of clouds in climate models.","因为把clouds考虑进预测的模型后，输出的数据变化的范围很大、很不稳定"
"2024/08/14 5:34:44 下午 GMT+8","P15","Forget all","(A) increase global warming.","(D) Difficult prediction of regional climate impacts","(C) the models agreed quite well.","(C) Because there is uncertainty about the impact of clouds in climate models.","Forget"
"2024/08/14 6:52:27 下午 GMT+8","P9","I can’t recall.","(B) decrease global warming.","(D) Difficult prediction of regional climate impacts","(D) the predictions were relatively inaccurate.","(C) Because there is uncertainty about the impact of clouds in climate models.","I don’t know."
"2024/08/14 11:36:56 下午 GMT+8","P10","Cloud pattern is one of the factors regulating the earth's surface temperature.  When it is hot, more water evapourate into the air and forms more clouds, which block sunlight and lowers temperature.  When it is cold, vice versa.  Sea algae population is believed to be influencing and being regulated from this cycle.  When there is less cloud and temperature rises, algae could conduct photosynthesis and reproduce rapidly.  Where there is more cloud and temperature drops, algae population decline.  Water on the surface of sea would circulate with water on the bottom due to difference in temperature, bring nutrients from deeper level to the surface.  Weather predicting models are consistent when cloud is not considered.  When cloud pattern is included, results are not consistent.","(B) decrease global warming.","(D) Difficult prediction of regional climate impacts","(C) the models agreed quite well.","(C) Because there is uncertainty about the impact of clouds in climate models.","Since climate models without considering clouds shows consistent findings, while models including cloud shows inconsistence.  This indicates that cloud's effect on regional weather is not clear."
"2024/08/20 9:09:36 下午 GMT+8","13",".","(D) cause unpredictable weather patterns.","(D) Difficult prediction of regional climate impacts","(B) the models were highly inconsistent.","(C) Because there is uncertainty about the impact of clouds in climate models.","不会，文章没听懂"
"2024/08/21 9:32:41 下午 GMT+8","P14","N/A","(D) cause unpredictable weather patterns.","(D) Difficult prediction of regional climate impacts","(D) the predictions were relatively inaccurate.","(C) Because there is uncertainty about the impact of clouds in climate models.","如果不考虑云对气候的影响，则预测不准确，但还没有准确的云对气候影响的模型"
